videoId,title,date,duree_sec,vues,likes,commentaires
pzxtGL9kzPs,Try Not To Get Slimed,2026-04-24,32,41032003,540885,8492
yy-Nt0dRhNI,Winner Picks Our Honeymoon,2026-04-21,52,66273268,1314380,14046
mFWpUx3FiyU,Guess The Animal,2026-04-17,45,97540332,1607008,9607
6W_841xoprg,Can a Window Stop a Wrecking Ball?,2026-04-14,30,59634073,1392328,10335
VIJLIo5yT1I,Don’t Eat The Spicy Yoshi Egg,2026-04-10,56,82481560,1531446,10869
uNu6XEPTy5g,$1 or Mystery Vial?,2026-04-07,35,37272992,1173112,13106
_JUlWtSCNbs,Who's The Strongest Streamer?,2026-04-03,26,231874206,4087520,14464
AKC50SZQFN8,Spreading Rumors About Streamers,2026-04-02,36,12713974,356030,7156
897gvApD6V4,Will a Zebra Subscribe to me?,2026-04-01,8,518412106,2559733,17820
Z9NxQdQ8Rpg,"Bring Me A Glass Of Water = Win $10,000",2026-03-26,41,22108982,673774,12755
jCE1Ol3PYDs,"I Hid $1,000,000 In This Vault",2026-03-20,58,35136281,1452604,16174
IqL-ZunFfpk,"Pop The Balloons, Win $10,000",2026-03-17,22,75205529,1419210,12149
IcuJ3vO_t3k,Would You Steal Money From A Stranger?,2026-03-06,27,73096700,1898469,10320
c9VS_cgInT4,"Subscribe, I’ll Double Your Bank Account",2026-02-28,31,193107361,2160248,20869
KaUuPNYHFNg,I Built a School in Mexico,2026-02-22,40,19772738,769247,14155
hjkbqeWQAM8,"Every Step You Take, Win $1,000",2026-02-18,42,93179293,1404924,8725
XbaZ45LVzzM,Surprising My Fiancée With A Chocolate Heart,2026-02-12,37,80344863,1983605,16055
gar4U3n-ILY,Guess What Age Punched You,2026-02-09,37,282407798,4104630,29072
toIeUtplfWQ,Is Being Smart or Strong Better?,2026-02-06,40,118907117,2279146,8628
_sBRk9ADpK8,"Flip a Coin, Win $30,000",2026-01-27,47,1019318982,7804495,36763
kNLr-cduzuo,Wait... Was He Famous?,2026-01-25,14,146222562,3393690,30146
wSh8fAFWEWs,Survivor vs Beast Games,2026-01-16,28,33615339,831484,14230
3GNyw4uaAqU,Subscribe for an iPhone,2026-01-13,15,1214763832,6705388,176608
ywIcdSNJolo,Pass the Phone,2026-01-09,23,78381570,1789378,13139
mktYW177p6U,Guess the Animal,2026-01-06,53,395163568,5315185,18623
7aE4EhHXzlA,I Paid Everyone Stuck in Traffic,2025-12-26,27,97151499,2726137,40554
IJkB-oapuks,"Giving Away $1,000,000 in Gifts To My Subscribers",2025-12-21,19,1219077792,8497234,194736
RB71Z-vVvCc,"Find The Real Celebrity, Win $10,000",2025-12-19,33,205808240,4065145,14644
fO5FwBcCJBY,"Would You Date Him for $10,000?",2025-12-12,33,147238554,3630433,23799
U-x6KxH1kB4,How Many People to Pull a Plane?,2025-12-06,27,44136864,907834,13639
SE9xF1l3ZwE,"Hit The Target, Keep The Prize",2025-12-05,26,53720005,1187533,10073
rF00lQ_upzg,"Whatever You Hold Onto, You Keep",2025-12-02,26,67092197,906390,11673
uZY9xr-QAk0,"Flip a Coin, I’ll Pay For Your College",2025-11-28,34,287111047,4813751,23208
AWBsoArakNY,Who Has The Fastest Reaction Time?,2025-11-25,31,82050937,1750259,8457
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,2025-11-21,29,44996794,1032467,13211
WROMyJAJmp4,Can I Beat An F1 Driver?,2025-11-18,11,321178457,2810563,12599
tAwzBYE18Us,How I Became MrBeef,2025-11-16,46,38104221,1385088,17882
LyFMbY-c_Lc,I Raced Noah Lyles,2025-11-14,32,368945986,4399756,11457
R7MkZL5i3FQ,Giving Trick-or-Treaters Weirder and Weirder Gifts,2025-11-07,27,178468349,1853678,13087
PryTbmudhS8,Can We Stop World's Best Tennis Player,2025-10-31,23,100732165,1561839,12084
yWEUL3crU_E,I Baked a Cake In a Race Car,2025-10-21,38,45777223,838832,7949
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17,46,70598834,2080418,10113
gtkqnhN0VkU,"Answer The Door, Win $10,000",2025-10-14,31,92214750,2626684,55845
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07,34,122040782,3020656,11038
